,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas
,'398297861810450432',1383767784.0,mikeyhutchens09,Track of Super Typhoon #Haiyan track. (H/T @wxbrad) http://t.co/bfsWsmIi7W,en,35.33355845,-96.93381955,"McLoud/Shawnee, Oklahoma",-21600.0,Central Time (US & Canada),,"['track', 'super', 'typhoon', 'haiyan', 'track']"
,'398297890726354944',1383767791.0,zhaissyfaye,Ready na po siya for super typhoon Yolanda..Siya nalang hahaha! Peace be with you! #Guilty #PorkBarrel http://t.co/zMOG7Outob,tl,11.7806287,124.88372759999999,Tacloban City,,,,"['ready', 'siya', 'super', 'typhoon', 'yolanda', 'siya', 'nalang', 'hahaha', 'peace', 'guilty', 'porkbarrel']"
,'398297895918505984',1383767793.0,jeromegalicia,"Almost a hundred M ang napupunta sa mga walang kwentang tao. Pero yung mga nasalanta ng bagyo, lindol or etc. almost 10M lang.",tl,14.36150693,121.05593378,"Philippines, MNLA",28800.0,Hong Kong,,"['ang', 'napupunta', 'mga', 'walang', 'kwentang', 'tao', 'pero', 'yung', 'mga', 'nasalanta', 'bagyo', 'lindol', 'lang']"
,'398297911324196865',1383767796.0,Reinaleah,"""@ANCALERTS: Typhoon Yolanda to leave PH Area of Responsibility on Sunday #YolandaPH"" - nice! Coz i want no rain on my birthday.",en,10.3103465,123.88808529999999,Cebu City,28800.0,Beijing,,"['typhoon', 'yolanda', 'leave', 'area', 'responsibility', 'sunday', 'yolandaph', 'nice', 'coz', 'want', 'rain', 'birthday']"
,'398298138630299648',1383767850.0,Gevbaboy,Di na daw dadaan sa Samar si #Yolanda doon na daw sya dadaan sa Senate hearing ni Napoles para tangayin na! #PatrolPork,tl,7.432639200000001,125.8199299,"Tagum, Davao Philippines",-32400.0,Alaska,,"['daw', 'dadaan', 'samar', 'yolanda', 'doon', 'daw', 'sya', 'dadaan', 'senate', 'hearing', 'napoles', 'para', 'tangayin', 'patrolpork']"
,'398298139125612544',1383767851.0,jaris_official,"Despite the threat of Typhoon Yolanda, padayon ra jud ko sa pag.pangadorno sa among christmas tree... http://t.co/nrbW0PC74a",tl,10.0164581,123.6159064,cebu philippines,-10800.0,Greenland,,"['despite', 'threat', 'typhoon', 'yolanda', 'padayon', 'jud', 'pag.pangadorno', 'christma', 'tree']"
,'398298187464597504',1383767862.0,lovemejhaynee,My bagyo na at lahat pero c napoles todo deny pa rin.,tl,11.580717100000001,122.75519059999999,Roxas City,28800.0,Singapore,,"['bagyo', 'lahat', 'pero', 'napole', 'todo', 'deny', 'rin']"
,'398298193403727872',1383767863.0,heychiinana,"""@PeanutBitterLOL: DI NADAW MO ARIG VISAYAS SI YOLANDA, MO DIRITSO NLNG DAW SHA DDTO SA HEARING NI NAPOLES.""",tl,10.3973076,124.0016449,"Cebu, Philippines  ",-28800.0,Pacific Time (US & Canada),,"['nadaw', 'arig', 'visayas', 'yolanda', 'diritso', 'nlng', 'daw', 'sha', 'ddto', 'hearing', 'napoles']"
,'398298214056472576',1383767868.0,claingclaire,@Saaaamsays hala noh. I hop mawala nanas Yolanda bah. :(,tl,10.3303929,123.89789240000002,Cebu Phils,28800.0,Beijing,,"['hala', 'noh', 'hop', 'mawala', 'nana', 'yolanda', 'bah']"
,'398298255110328320',1383767878.0,Eli_Imperial,"Sana pag pasok ni #Yolanda sa Pinas, tangayin yung tinutuluyan ni #Napoles para matapos na yan.",tl,37.78444771,-122.48095262,"San Francisco, CA",-28800.0,Pacific Time (US & Canada),,"['sana', 'pag', 'pasok', 'yolanda', 'pinas', 'tangayin', 'yung', 'tinutuluyan', 'napoles', 'para', 'matapos', 'yan']"
,'398298303390953472',1383767890.0,claingclaire,"RT @cebudailynew Daanbantayan and Medellin in #Cebu are asked to take extra precaution. Eye of #YolandaPH is set to pass by there.""",en,10.3304142,123.8974562,Cebu Phils,28800.0,Beijing,,"['daanbantayan', 'medellin', 'cebu', 'ask', 'extra', 'precaution', 'eye', 'yolandaph', 'set', 'pass']"
