,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas,
,'398754619364368386',1383876684,Nikkiii_28,Hindi ko po alam kung bakit bitter ako-.-*Napoles style*,tl,14.96885916,120.63636188,EXOcytosises,-32400,Alaska,,"['hindi', 'alam', 'kung', 'bakit', 'bitter', 'ako-.-*napole', 'style']",
,'398757628060241920',1383877401,imemarchelle,"""@syakniJayR: @imemarchelle hindi ko po alam.. xD"" am I talking to Ms. Janett Napoles? Lol x)",tl,14.5862766,120.9772704,,28800,Hong Kong,,"['hindi', 'alam', 'talk', 'ms.', 'janett', 'napoles', 'lol']",
,'398761620823760896',1383878353,JiiinSanity,@BagyongYoIanda: Wag kayong mag-alala isasama ko si napoles.,tl,14.43465058,120.95955713,Philippines,28800,Beijing,,"['wag', 'kayong', 'mag', 'alala', 'isasama', 'napole']",
,'398763748279603200',1383878860,_itzbmnlg,alam niyo kung bakit binabagyo Pilipinas ngayon? Napoles.,tl,14.4375615,120.9820776,Las Pias City,28800,Hong Kong,,"['alam', 'niyo', 'kung', 'bakit', 'binabagyo', 'pilipinas', 'ngayon', 'napole']",
,'398770926067519488',1383880572,HllryBrnsl,"Hindi ka si Napoles. Kaya pag tinanong kita, di ko tatanggapin ang sagot mong, "" Hindi ko alam.""",tl,14.55875584,120.99884805,Republic of the Philippines ,-25200,Mountain Time (US & Canada),,"['hindi', 'napoles', 'kaya', 'pag', 'tinanong', 'kita', 'tatanggapin', 'ang', 'sagot', 'mong', 'hindi', 'alam']",
,'398777229011722240',1383882074,iAmALLAN03,Sarado na daw ang Empire dahil kay Napoles? haha Lipat na kayo sa AIMGlobal! :))),tl,14.66483107,121.0382842,"New York, NY",28800,Hong Kong,,"['sarado', 'daw', 'ang', 'empire', 'dahil', 'kay', 'napoles', 'haha', 'lipat', 'kayo', 'aimglobal']",
,'398780531925475330',1383882862,aybheeeng,Bakit hindi na lang si Napoles ang tangayin ng hangin? Pffffft. #sorrynotsorry,tl,14.5499255,120.9980521,Philippines,28800,Singapore,,"['bakit', 'hindi', 'lang', 'napoles', 'ang', 'tangayin', 'hangin', 'pffffft', 'sorrynotsorry']",
,'398784729433911296',1383883863,itsbiellaa,@HaiyanYolanda: Si napoles lang sinadya ko dito.,tl,14.73908624,120.98774433,Earth ,-32400,Alaska,,"['napole', 'lang', 'sinadya', 'dito']",
,'398791402538024962',1383885454,darylbaes,@nathan_yell mayaman din ang bir at ang napoles #iinovokemyright,tl,14.58924129,120.99301126,Mahal Kong Maynila,-28800,Pacific Time (US & Canada),,"['mayaman', 'din', 'ang', 'bir', 'ang', 'napole', 'iinovokemyright']",
,'398797495616040960',1383886906,maanbolito,@StrongKane17 my god! Hahahah! Na-napoles? Demet!!!!!,tl,14.57853,121.05246,MNL PH,28800,Singapore,,"['god', 'hahahah', 'napole', 'demet']",
,'398805539557109762',1383888824,fervidharry,yung hangin parang si napoles nangnanakaw ng mabilis na internet connection hahahahahaha k,tl,14.06886578,121.33543396,0/4 0/5,-32400,Alaska,,"['yung', 'hangin', 'parang', 'napole', 'nangnanakaw', 'mabilis', 'internet', 'connection', 'hahahahahaha']",
,'398807882189123584',1383889383,TsinELIAS,Hndi mawala sa isip ko si napoles. Hahaha. Crush lang?,tl,14.38708572,120.98915065,Molino Bacoor Cavite,28800,Perth,,"['hndi', 'mawala', 'isip', 'napole', 'hahaha', 'crush', 'lang']",
,'398818116810969088',1383891823,JazielofGod,"""Parang pork barrel. Anlaki laki na nawawala pa"" ",tl,14.85136958,120.32347626,"olongapo city , philippines",-32400,Alaska,,"['parang', 'pork', 'barrel', 'anlaki', 'laki', 'nawawala']",
,'398821764081254400',1383892692,iamjune17,Naalala ko yung mukha ni Napoles kahapon. Nakakabwiset.,tl,14.4017941,121.04993833,Rooftop ,28800,Beijing,,"['naalala', 'yung', 'mukha', 'napoles', 'kahapon', 'nakakabwiset']",
,'398830601370742784',1383894799,iraalexie,Dapat ang pinangalan sa bagyo ngayon Napoles kase namemeste ayyy ,tl,14.33180745,121.04101282,MNL,28800,Singapore,,"['dapat', 'ang', 'pinangalan', 'bagyo', 'ngayon', 'napoles', 'kase', 'namemeste', 'ayyy']",
,'398838052035907584',1383896576,marjannc,"""@BagyongYoIanda: Di ako maka alis di ko mahanap si napoles.""Antaray ni Yolanda. May twitter. :)",tl,14.63241,121.11998,Antipolo City,-28800,Pacific Time (US & Canada),,"['ako', 'maka', 'alis', 'mahanap', 'napoles.""antaray', 'yolanda', 'twitter']",
,'398882381282942978',1383907145,BatoYesfmManila,Naki-usyoso lang sa #napoles senate hearing #senate #philippines #pasay #lusionangkigol #hayahay http://t.co/7JI8Z3vPIH,tl,14.5462026,120.98321534,"Pasay City, Philippines",28800,Hong Kong,,"['naki', 'usyoso', 'lang', 'napole', 'senate', 'hearing', 'senate', 'philippine', 'pasay', 'lusionangkigol', 'hayahay']",
,'398985635488227328',1383931762,me_geri,@DonyaInaLabyuuu: Saan na daw si Yolanda ngayon?Sabing papunta na daw ni Napoles!,tl,10.28815794,123.95375511,,-25200,Arizona,,"['saan', 'daw', 'yolanda', 'ngayon?sab', 'papunta', 'daw', 'napoles']",
,'399016521986371584',1383939126,tequierojoshua,@MoonsterXD we must always dream as high as we could because earth is experiencing global warming and Napoles is love. Undrstnd? Lol,en,14.5560541,121.0235241,PH,32400,Seoul,,"['dream', 'high', 'earth', 'experience', 'global', 'warming', 'napoles', 'love', 'undrstnd', 'lol']",
,'398098628134187009',1383720283,inbene,Pre-typhoon tips. Saya harus survive dengan browsing gimana cara antisipasi bencana. Di indonesia gk [pic]  https://t.co/JnoycEWwiV,id,10.34093,123.8952,,,,,"['pre', 'typhoon', 'tip', 'saya', 'harus', 'survive', 'dengan', 'browse', 'gimana', 'cara', 'antisipasi', 'bencana', 'indonesia', 'pic']",
,'398099571299340288',1383720508,yehey_itsnikki,Bagyo!!! (@ eBloc Building) http://t.co/KVfVt7LGYp,en,10.33194965,123.90870786,Philippines,28800,Beijing,,"['bagyo', 'ebloc', 'building']",
,'398100382942904321',1383720702,Vira65,@tineybubbles Super typhoon's coming fast and earlier than expected! Let's pray Tine!,en,10.29907526,123.89803344,"Cebu, Philippines",-32400,Alaska,,"['super', 'typhoon', 'come', 'fast', 'early', 'expect', 'let', 'pray', 'tine']",
,'398101937872060416',1383721073,jamesabelc,I am scared of this #Supertyphoon #YolandaPH coz the last time i experienced so much rain was very traumatic,en,14.55660083,121.00489471,Makati,-32400,Alaska,,"['scared', 'supertyphoon', 'yolandaph', 'coz', 'time', 'experience', 'rain', 'traumatic']",
,'398102382120144898',1383721178,inbene,Tengah malem belajar geografi deh. Biar tau ttg peristiwa typhoon dan antisipasinya.,id,10.34093,123.8952,,,,,"['tengah', 'malem', 'belajar', 'geografi', 'deh', 'biar', 'tau', 'ttg', 'peristiwa', 'typhoon', 'dan', 'antisipasinya']",
,'398103010305249280',1383721328,kimkimyy_,Sana di malala magiging itsura ng visayas after nung bagyo.,tl,14.5725,121.01456, Professional D R E  M E R ,28800,Beijing,,"['sana', 'malala', 'magig', 'itsura', 'visayas', 'nung', 'bagyo']",
,'398103383363432448',1383721417,UrOnlySunshine,"""Delubyo."" That's how they describe the super typhoon. Oh my God.",en,10.34851273,123.94898138,Philippines,28800,Hong Kong,,"['delubyo', 'describe', 'super', 'typhoon', 'god']",
,'398104175944298498',1383721606,YbestBermudez,Super typhoon yolanda is getting near! Now start sending message to god.#PrayforPhilippines #YolandaPH,en,14.5996679,120.9875269,From Manila Philippines,,,,"['super', 'typhoon', 'yolanda', 'get', 'near', 'start', 'send', 'message', 'god.#prayforphilippine', 'yolandaph']",
,'398104797603041280',1383721754,yhenabellar,Kinakabahn na ako sa bagyo. Please pray for Panay Island. :-(,tl,10.698679,122.5598407,Philippines ,-25200,Arizona,,"['kinakabahn', 'ako', 'bagyo', 'pray', 'panay', 'island']",
,'398105356200460288',1383721888,SUPERSexyKJade,Nakakatakot ang super typhoon!,tl,14.6835928,121.1095263,Cair Paravel ,-28800,Pacific Time (US & Canada),,"['nakakatakot', 'ang', 'super', 'typhoon']",
,'398105972326936576',1383722034,darellcruz,di ko maintindihan ung path ng bagyo haha anu ung z z dun lol,tl,14.60886016,120.99375398,Center of Manhattan,28800,Singapore,,"['maintindihan', 'ung', 'path', 'bagyo', 'haha', 'anu', 'ung', 'dun', 'lol']",
,'398106598251323392',1383722184,KMariel_Festejo,"God Bless, everyone! Be alert and stay safe. Pray, pray, pray...that is our best weapon #YolandaPH",en,14.57211255,121.03069094,"T: 14.327802,120.959277",28800,Singapore,,"['god', 'bless', 'alert', 'stay', 'safe', 'pray', 'pray', 'pray', 'good', 'weapon', 'yolandaph']",
,'398107090993938433',1383722301,tanjeriine,Wtf. Mas malaki pa sa pilipinas yung bagyo. Totoo ba. Wala na. Lulubog na tayo. Wala na talaga.,tl,14.60619594,120.98904603,"Espaa, Manila",28800,Beijing,,"['wtf', 'mas', 'malaki', 'pilipina', 'yung', 'bagyo', 'totoo', 'wala', 'lulubog', 'tayo', 'wala', 'talaga']",
