,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,,lemmas,
,'398753810622865408',1383876491,flambert_13,"Dear Yolanda, pakitangay na lang si #Napoles at  ang #chicser . Labyu!",tl,14.48070899,121.30943563,Philippines,,,,"['dear', 'yolanda', 'pakitangay', 'lang', 'napole', 'ang', 'chicser', 'labyu']",
,'398756780173307905',1383877199,lanzor_ph,@rapplerdotcom Napoles just comfortable in life? With 7 cars as she claimed? That's a high standard! #Napoles,en,14.59071875,121.03555231,"Manila, Philippines",28800,Hong Kong,,"['napoles', 'comfortable', 'life', 'car', 'claim', 'high', 'standard', 'napole']",
,'398760197386022912',1383878014,daffylism,"Mabuti pa ang pagdating ni YOLANDA pinagkaabalahan paghandaan, Ang pagdating ni NAPOLES, walang naikasa sa kaso hindi nakapuntos, dehado!",tl,9.1250416,124.6741533,Camiguin Island Philippines,-32400,Alaska,,"['mabuti', 'ang', 'pagdat', 'yolanda', 'pinagkaabalahan', 'paghandaan', 'ang', 'pagdat', 'napoles', 'walang', 'naikasa', 'kaso', 'hindi', 'nakapuntos', 'dehado']",
,'398762614936702977',1383878590,jrreguyal21,Mrs. Yolanda Napoles \m/,id,14.4275828,120.9959784,"Manila, Philippines",-25200,Arizona,,"['mrs.', 'yolanda', 'napoles', '\\m/']",
,'398769104963645441',1383880138,vincentasis,Gusto ko yung Napoles-zoned... haha,tl,14.849565,120.2914292,Pearl of the Orient Seas,28800,Hong Kong,,"['gusto', 'yung', 'napoles', 'zoned', 'haha']",
,'398775536190627841',1383881671,Gaiiily,"""@UnliTeenQuotes: Mahal mo ba ako?May pag-asa ba ako?So tayo na ba? Napoles : ""Di ko po alam""#NAPOLESZONED""",tl,14.4589202,120.9758231,Wonderland,28800,Beijing,,"['mahal', 'ako?may', 'pag', 'asa', 'ako?so', 'tayo', 'napole', 'alam""#napoleszoned']",
,'398778273976442882',1383882324,gracia_gracia,@BagyongYoIanda: Wag kayong mag-alala isasama ko si napoles. promise yan ah!,tl,14.59739951,121.02108385,,28800,Singapore,,"['wag', 'kayong', 'mag', 'alala', 'isasama', 'napole', 'promise', 'yan']",
,'398783120914128896',1383883479,CheeckyTricia,"""@jokesatibapa: Bagyo: Yolanda Napoles :Yoliar Flirt: Yolandi""",id,15.7560352,121.5541093,BLR,-32400,Alaska,,"['bagyo', 'yolanda', 'napoles', 'yoliar', 'flirt', 'yolandi']",
,'398790668241223680',1383885279,ayemPong,gumagamit ka siguro ng napoles cream noh?! tang-ina! ang kapal ng mukha mo eh!,tl,14.65418987,121.0004708,"Quezon City, Philippines",28800,Beijing,,"['gumagamit', 'siguro', 'napole', 'cream', 'noh', 'tang', 'ina', 'ang', 'kapal', 'mukha']",
,'398794601906974720',1383886217,iameveallen,@BagyongYoIanda: Wag kayong mag-alala isasama ko si napoles. yes pls,tl,14.56272893,121.00466412,"Legazpi City, Philippines",-32400,Alaska,,"['wag', 'kayong', 'mag', 'alala', 'isasama', 'napol', 'yes', 'pls']",
,'398800708633239552',1383887672,RalphZoleta,@justinbolus pork barrel,en,15.14587497,120.59358922,Republic of the Philippines,28800,Hong Kong,,"['pork', 'barrel']",
,'398807069555310592',1383889189,KYL_DV,"Anak. Suko daw si Pinocchio kay Napoles. Di kinaya. Paki-explain! Labyu!  Hahahahaha""",tl,14.4606082,121.0123112,RACK CITY.NEWYORK CITY,28800,Beijing,,"['anak', 'suko', 'daw', 'pinocchio', 'kay', 'napoles', 'kinaya', 'paki', 'explain', 'labyu', 'hahahahaha']",
,'398812373802172417',1383890454,PoloQuincena,"Andaming galit kay Napoles, pero iilan lang naman yung may alam ng kaso sakanya.",tl,14.60569034,120.9900312,Olongapo City,,,,"['andam', 'galit', 'kay', 'napoles', 'pero', 'iilan', 'lang', 'naman', 'yung', 'alam', 'kaso', 'sakanya']",
,'398820064679309312',1383892287,trendinaliaPI,@Inq_Opinion Did you know that #Napoles was Trending Topic for 12 hours?  http://t.co/MxOHml5GkH @inquirerdotnet #trndnl,en,15.5931,120.7391,Philippines,28800,Perth,,"['know', 'napoles', 'trend', 'topic', 'hour', 'trndnl']",
,'398826988657315840',1383893938,youuknees,@BagyongYoIanda when u leave take napoles wt you pls,en,14.60287532,121.00509272,Kitchen,-32400,Alaska,,"['leave', 'napole']",
,'398833137058201600',1383895404,elyssertmp,@senmiriam: Final words to #Napoles:Tell the truth before the senators affected will have you assassinated.#PDAFProbe,en,16.64699979,120.31190636,SanFernando|Baguio|Angeles,-25200,Arizona,,"['final', 'word', 'napole', 'tell', 'truth', 'senator', 'affect', 'assassinated.#pdafprobe']",
,'398860272045002752',1383901873,NamVillegas,@zeespri2 @sashaCLA @libroraniaaa @Ayeeeye @ramosmegs @jsprmrtrz Mascot ni napoles.,tl,14.4487466,120.9598813,Winterfell,28800,Beijing,,"['mascot', 'napole']",
,'398978625472450560',1383930091,efrmrsbgyn,Napoles zoned. \m/ HAHAHAHAHAHAHAHH,tl,14.9824888,120.5006976,Jys's ,28800,Beijing,,"['napoles', 'zone', '\\m/', 'hahahahahahahahh']",
,'399012787239661568',1383938236,therealjhayma,NAPOLES! NAPOLES! XD,hu,14.3714097,120.8921466,"Gen.Trias,Cavite",,,,"['napoles', 'napoles']",
