text,created_at,user,user utc offset,language,lat,id,user time zone,lng,user location
"@JFajardo16: ""@lancedeocampo: Typhoon Yolanda, have mercy tomorrow. Amen. """,1383720245.0,zanemulak,Jessieca Rubio,en,,'398098466934513664',Singapore,,28800
Chatting with Manigos Allan and happened to mention about yolanda. This was his powerful words of encouragement:... http://t.co/SKAA5OxSz1,1383720246.0,AttyDJHO,Philippines,en,,'398098470776889344',,,
Reading updates about the typhoon is scarier than watching a horror movie,1383720247.0,kahlilaraagas,Cagayan de Oro City,en,,'398098473804759041',Hong Kong,,28800
@RhowDannyGlark is this because of the typhoon?,1383720247.0,ScriptSyndrome,Hogwarts,en,,'398098475969024000',Singapore,,28800
@jdbartolo thanks! ikaw rin ingat sa baha although this typhoon is merely wind and gust,1383720253.0,mariah_richy,Philippines,en,,'398098500312776704',International Date Line West,,-39600
"@dreivance Stay safe, bro. Praying that #YolandaPH will pass by swiftly with no significant damage.",1383720256.0,MauiSays,Philippines,en,,'398098514023940096',Hong Kong,,28800
Movie for the typhoon haha #nightmareonelmstreet http://t.co/37EhEV1ezn,1383720256.0,NOTelgie,,en,,'398098511822340096',Pacific Time (US & Canada),,-28800
Ugh this super typhoon makes me nervous,1383720256.0,Voyageofbeliefs,"Cebu, Philippines",en,,'398098511557705728',Alaska,,-32400
Typhoon Yolanda please... please.. please...#HaveMercyOnUs #YolandaPH #YolandaUpdates #PrayForThePhilippines,1383720258.0,IamHunterxEdzar,Philippines,en,,'398098519648526338',Kuala Lumpur,,28800
@EmmaGxxxx_ yes you better sleep or else ma bagyo ged jk good night gwaptoots :),1383720260.0,alnasnutella,"Sugar Ln, Oneida, NY",en,9.9902175,'398098528439762944',Quito,122.8095883,-18000
ProjectNOAH: Predicted storm surge height for coastal areas of Ormoc City on 8 November 2013. #YolandaPH ... http://t.co/oXvJNaAIyj,1383720260.0,PanahonNgayon,Philippines,en,,'398098530117906432',,,
"I feel the weatherman's deep breath when he explained how dangerous, extensive Typhoon ""Yolanda"" will be. @stateofdnation",1383720262.0,Wharzone,"Iloilo City, Philippines",en,,'398098538858418176',Beijing,,28800
YOLANDA my labs!!! Don't be shy!! Go away please... Friday will be the last gala for us. Hahaha please behave.,1383720264.0,marygailclement,,en,,'398098548560252928',,,
@suzy899 thanks love. People are panic buying here. I just hope yolanda wont hit us hard. ,1383720268.0,sheenaosmena,"Cebu, Philippines",en,,'398098561578962944',Pacific Time (US & Canada),,-28800
will love to take a big ass dump right now #Boom #Yolanda,1383720270.0,JtTablante,Dyatlov Pass,en,,'398098571334918144',Beijing,,28800
Lets pray for the safety of everyone here at Philippines we are WATERPROOF! #YolandaPH,1383720270.0,Epoooyyy,Philippines,en,,'398098573146865664',Beijing,,28800
Storm Prayer Brigade: Spare us Lord from the threat of typhoon #yolanda,1383720275.0,jinglitratista,"Iloilo City, Philippines",en,,'398098591090089984',Alaska,,-32400
go away typhoon Yolanda. nobody wants you here.,1383720276.0,jescalaydeecoco, T A R D I S,en,,'398098595183751168',Perth,,28800
Yolanda sounds really scary. Time to charge all emergency lights and stock up my emergency bag aka hoard food from our cupboard.,1383720279.0,jdjaymalin,Kingdom far far away. ,en,,'398098609259819010',Hong Kong,,28800
"Mom's flight tomorrow for Bora. Oh Typhoon Yolanda, please ",1383720283.0,chamtanteras,Davao,en,,'398098624334163968',Alaska,,-32400
"Philippines on high alert, braces for Typhoon Haiyan http://t.co/kzGG9AjdbU",1383720289.0,chuhaizhou,,en,,'398098651907907584',,,
"The typhoon reminds me of Yolanda Moon, as in the band.",1383720289.0,rockstarcindy,,en,,'398098649470611456',Hong Kong,,28800
