,user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language,Parsed,lemmas
0, Bayan Kong PILIPINAS,No. I revoke my right to self incrimination  No ka dyan. Haha. #Napoles-zoned http://t.co/LAmxC6JTW9,1383874538.0,MahalKongIsko,'398745618753261568',Beijing,,28800.0,,en,No. I revoke my right to self incrimination  No ka dyan. Haha. #Napoles-zoned http://t.co/LAmxC6JTW9,"[revoke, right, self, incrimination,  , ka, dyan, Haha, Napoles, zoned, http://t.co/LAmxC6JTW9]"
1,Quezon City,Yolanda is Janet Napoles' sister! #PrayforthePhilippines,1383874587.0,CKALatiza,'398745825930510336',Pacific Time (US & Canada),,-28800.0,,en,Yolanda is Janet Napoles' sister! #PrayforthePhilippines,"[Yolanda, Janet, Napoles, sister, PrayforthePhilippines]"
2,"ManiLa ,Phillipines ","Porkbarrel Scam , Earthquake , #YolandaPH #PrayForThePhilippines PRAYER is Always Waterproof ;-)",1383874603.0,JaylloidLabsyoo,'398745889876885504',Beijing,,28800.0,,en,"Porkbarrel Scam , Earthquake , #YolandaPH #PrayForThePhilippines PRAYER is Always Waterproof ;-)","[Porkbarrel, Scam, Earthquake, YolandaPH, PrayForThePhilippines, PRAYER, Waterproof]"
3,Cebu,""" Lets transfer Napoles to a regular jail already.  It's clear she will not cooperate to get this case moving anyway.""",1383874620.0,normanlizza,'398745962077622273',,,,,en,""" Lets transfer Napoles to a regular jail already.  It's clear she will not cooperate to get this case moving anyway.""","[Lets, transfer, Napoles, regular, jail,  , 's, clear, cooperate, case, moving]"
4,Somewhere Cheeky,@nicolePROPHETa yes pork barrel na yan HAHA I was gonna say that actually HAHA,1383874697.0,justlaughloud,'398746283642343425',Alaska,,-32400.0,,en,@nicolePROPHETa yes pork barrel na yan HAHA I was gonna say that actually HAHA,"[@nicolePROPHETa, yes, pork, barrel, na, yan, HAHA, gon, na, actually, HAHA]"
5,New York  Batangas,"""I INVOKE MY RIGHTS"" favorite lines ni Napoles. Hahaha",1383874731.0,OfficialJaypeeM,'398746426651320320',Abu Dhabi,,14400.0,,en,"""I INVOKE MY RIGHTS"" favorite lines ni Napoles. Hahaha","[INVOKE, RIGHTS, favorite, lines, ni, Napoles, Hahaha]"
6,Philippines,Hiring Admin  I Invoke My Right Against Self Incrimination - Janet NapolesSino gusto?,1383874732.0,iamjufren10,'398746434377637888',Pacific Time (US & Canada),,-28800.0,,en,Hiring Admin  I Invoke My Right Against Self Incrimination - Janet NapolesSino gusto?,"[Hiring, Admin,  , Invoke, Right, Self, Incrimination, Janet, NapolesSino, gusto]"
7,"manila, phillipines","@medaKeepCalm: I say ""I DON'T KNOW"" to everything when I'm in a bad mood. Bad mood si Napoles",1383874744.0,youknees_19,'398746481143738368',Alaska,,-32400.0,,en,"@medaKeepCalm: I say ""I DON'T KNOW"" to everything when I'm in a bad mood. Bad mood si Napoles","[@medaKeepCalm, DON'T, KNOW, 'm, bad, mood, Bad, mood, si, Napoles]"
8,"Manila, Philippines",Bong's lawyer: Senate body violated Napoles' right @PhilstarNews http://t.co/TEaLmTI25c,1383874763.0,PhilstarNews,'398746562060251136',Singapore,,28800.0,,en,Bong's lawyer: Senate body violated Napoles' right @PhilstarNews http://t.co/TEaLmTI25c,"[Bong, 's, lawyer, Senate, body, violated, Napoles, right, @PhilstarNews, http://t.co/TEaLmTI25c]"
9,Philippines,Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk,1383874770.0,aureacalica,'398746591344877568',Singapore,,28800.0,,en,Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk,"[Palace, intend, feed, alleged, pork, barrel, queen, Janet, Lim, Napoles, lions, despite, refusal, talk]"
10,"Quezon City, Philippines",RT @aureacalica: Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk,1383874843.0,scribblerjack,'398746898669895680',Ulaan Bataar,,28800.0,,en,RT @aureacalica: Palace does not intend to feed alleged pork barrel queen Janet Lim-Napoles to the lions despite her refusal to talk,"[RT, @aureacalica, Palace, intend, feed, alleged, pork, barrel, queen, Janet, Lim, Napoles, lions, despite, refusal, talk]"
11,"Quezon City, Philippines","@PhilstarNews # More than deletion, we'd to see they make laws making it a crime for legislators to have it! NO MORE PORK BARREL in Congress",1383874875.0,Baibonn,'398747031147003905',,,,,en,"@PhilstarNews # More than deletion, we'd to see they make laws making it a crime for legislators to have it! NO MORE PORK BARREL in Congress","[@PhilstarNews, deletion, 'd, laws, making, crime, legislators, PORK, BARREL, Congress]"
