,id,created_at,user,text,language,lat,lng,user location,user utc offset,user time zone,Parsed,lemmas
0,'398745224865779712',1383874444.0,DanssCabarriban,@PanirangCaption: What does the fox say? ... Napoles: di ko po alam! http://t.co/ZfpoCgKyze,en,,,RianaChalizaOlasimanLlega,-32400.0,Alaska,@PanirangCaption: What does the fox say? ... Napoles: di ko po alam! http://t.co/ZfpoCgKyze,"['fox', 'napol', 'alam', 'http://t.co/zfpocgkyze']"
1,'398745239013171201',1383874447.0,JohnCeeeeee,"Anong nangyari sa nahuling kriminal?Edi, Napoles! (Na-pulis)HAHAHAHAHA I need a panda.",tl,,,Respect Excellence Discipline,28800.0,Singapore,"Anong nangyari sa nahuling kriminal?Edi, Napoles! (Na-pulis)HAHAHAHAHA I need a panda.","['anong', 'nangyari', 'nahul', 'kriminal?edi', 'napoles', 'pulis)hahahahaha', 'panda']"
2,'398745261943447552',1383874453.0,churvachuchu22,@ohohaubreydc @iamselinasg @qwerizeetyuiop @HLA16300216 hahahahahaha! Idol nyo si napoles ha! HAHAHAHAHAHAHA!,tl,,,marikina city,28800.0,Beijing,@ohohaubreydc @iamselinasg @qwerizeetyuiop @HLA16300216 hahahahahaha! Idol nyo si napoles ha! HAHAHAHAHAHAHA!,"['hahahahahaha', 'idol', 'nyo', 'napole', 'hahahahahahaha']"
3,'398745271955247104',1383874455.0,EngoJomar,#Napoles http://t.co/5fHsJn8VSw,es,,,,,,#Napoles http://t.co/5fHsJn8VSw,"['napoles', 'http://t.co/5fhsjn8vsw']"
4,'398745271053479936',1383874455.0,rmrzjoana,"""@imjonlucas: Andiyan na si Yolanda!!! Im sure si Napoles ""Hindi niya alam"" :("" Hahaha!! Lahat nalang hindi nya alam!",tl,,," Manila,Philippines",-25200.0,Arizona,"""@imjonlucas: Andiyan na si Yolanda!!! Im sure si Napoles ""Hindi niya alam"" :("" Hahaha!! Lahat nalang hindi nya alam!","['andiyan', 'yolanda', 'sure', 'napoles', 'hindi', 'niya', 'alam', 'hahaha', 'lahat', 'nalang', 'hindi', 'nya', 'alam']"
5,'398745290229817345',1383874460.0,louiseumayam,"""@KASABIHAN: Sana lahat tayo katulad ni Napoles..Bigla nalang yayaman ng HINDI NATIN ALAM.""",tl,,,,-28800.0,Pacific Time (US & Canada),"""@KASABIHAN: Sana lahat tayo katulad ni Napoles..Bigla nalang yayaman ng HINDI NATIN ALAM.""","['sana', 'lahat', 'tayo', 'katulad', 'napoles', 'bigla', 'nalang', 'yayaman', 'hindi', 'natin', 'alam']"
6,'398745325701042176',1383874468.0,GOaUSTEn,"Napoles meme: ""10 billion likes, babalik ko pera nyo!"" =)))",tl,,,KM 0,28800.0,Taipei,"Napoles meme: ""10 billion likes, babalik ko pera nyo!"" =)))","['napole', 'meme', 'like', 'babalik', 'pera', 'nyo']"
7,'398745324715405312',1383874468.0,ShayneCaliao08,Nawala yung Cable! NakNg! Nanunood ako ng balita eh :3 gusto ko mapanuod yung kay napoles &gt;[,tl,,,Binangonan Rizal,28800.0,Beijing,Nawala yung Cable! NakNg! Nanunood ako ng balita eh :3 gusto ko mapanuod yung kay napoles &gt;[,"['nawala', 'yung', 'cable', 'nakng', 'nanunood', 'ako', 'balita', 'gusto', 'mapanuod', 'yung', 'kay', 'napoles']"
8,'398745330885206016',1383874469.0,NicaHarries,Hahaha. Puro nalang Napoles nakikita ko sa Facebook. Pati ba naman dito sa Twitter? Lol!,tl,,,"MANILA, VANILLA ",-32400.0,Alaska,Hahaha. Puro nalang Napoles nakikita ko sa Facebook. Pati ba naman dito sa Twitter? Lol!,"['hahaha', 'puro', 'nalang', 'napoles', 'nakikita', 'facebook', 'pati', 'naman', 'dito', 'twitter', 'lol']"
9,'398745348580970496',1383874474.0,WayneHall14,"Sana sumanib si Honesto kay Napoles para sa tuwing nagsisinungaling sya, lumalaki at namumula ang kanyang ilong.",tl,,,Philippines,-28800.0,Pacific Time (US & Canada),"Sana sumanib si Honesto kay Napoles para sa tuwing nagsisinungaling sya, lumalaki at namumula ang kanyang ilong.","['sana', 'sumanib', 'honesto', 'kay', 'napoles', 'para', 'tuw', 'nagsisinungaling', 'sya', 'lumalaki', 'namumula', 'ang', 'kanyang', 'ilong']"
10,'398745356647022592',1383874476.0,falzarshut,Yolanda wheres napoles ilabas nio sya !!!!,tl,,,,,,Yolanda wheres napoles ilabas nio sya !!!!,"['yolanda', 'napole', 'ilabas', 'nio', 'sya']"
11,'398745374547902464',1383874480.0,patrisssyaval22,Mejo late pero... I invoke my right!!! Lecheng Napoles kapal ng muka!!!,tl,,,New Zealand,46800.0,Wellington,Mejo late pero... I invoke my right!!! Lecheng Napoles kapal ng muka!!!,"['mejo', 'late', 'pero', 'invoke', 'right', 'lecheng', 'napoles', 'kapal', 'muka']"
12,'398745382810689537',1383874482.0,VersatilePascua,"Ano ba talaga, Juma-Janet Napoles ang Pasukan sa CVSU eh, laging kapag may tinatanong ako: ""Hindi ko Alam"" ang response!",tl,,,"Nashville, Philippines ",-28800.0,Pacific Time (US & Canada),"Ano ba talaga, Juma-Janet Napoles ang Pasukan sa CVSU eh, laging kapag may tinatanong ako: ""Hindi ko Alam"" ang response!","['ano', 'talaga', 'juma', 'janet', 'napoles', 'ang', 'pasukan', 'cvsu', 'lag', 'kapag', 'tinatanong', 'ako', 'hindi', 'alam', 'ang', 'response']"
13,'398745413278121984',1383874489.0,auraimplicit,"Miriam's more after d real criminals in ds case-- the senators, &amp; not only Napoles. Sila nmn kasi tlga ung mas may pananagutan sa taumbayan.",tl,,,Philippines,28800.0,Singapore,"Miriam's more after d real criminals in ds case-- the senators, &amp; not only Napoles. Sila nmn kasi tlga ung mas may pananagutan sa taumbayan.","['miriam', 'real', 'criminal', 'case--', 'senator', 'amp', 'napoles', 'sila', 'nmn', 'kasi', 'tlga', 'ung', 'pananagutan', 'taumbayan']"
14,'398745419057872896',1383874490.0,_BababaBrian,@micalcantara Wala po akong alam. #Napoles,tl,,,,28800.0,Beijing,@micalcantara Wala po akong alam. #Napoles,"['wala', 'akong', 'alam', 'napole']"
15,'398745451367006208',1383874498.0,ayembabybluish,"Ang taray ng kilay ni Napoles, kasing taas ng Roof Top. Tinalo pa ang kilay ng INA NYO. Paki-explain! Labyou!",tl,,,Dasmarias Cavite,28800.0,Beijing,"Ang taray ng kilay ni Napoles, kasing taas ng Roof Top. Tinalo pa ang kilay ng INA NYO. Paki-explain! Labyou!","['ang', 'taray', 'kilay', 'napoles', 'kas', 'taas', 'roof', 'tinalo', 'ang', 'kilay', 'ina', 'nyo', 'paki', 'explain', 'labyou']"
16,'398745505083060224',1383874511.0,Chang_EXO,"""May pasok?"" ""Hindi ko po alam"" Ano 'to? Napoles-zoned?",tl,,,,-36000.0,Hawaii,"""May pasok?"" ""Hindi ko po alam"" Ano 'to? Napoles-zoned?","['pasok', 'hindi', 'alam', 'ano', 'napoles', 'zone']"
17,'398745505250824193',1383874511.0,ejroxas1493,@LuJohn Napoles si Napoles.,et,,,Place,28800.0,Beijing,@LuJohn Napoles si Napoles.,"['napoles', 'napoles']"
18,'398745514134368256',1383874513.0,TERRENific,"yung dalawang nauna naka wheel chair, si Napoles naman, nag ka amnesia.. may mga disability :)",tl,,,San Mateo Rizal,28800.0,Beijing,"yung dalawang nauna naka wheel chair, si Napoles naman, nag ka amnesia.. may mga disability :)","['yung', 'dalawang', 'nauna', 'naka', 'wheel', 'chair', 'napoles', 'naman', 'nag', 'amnesia', 'mga', 'disability']"
19,'398745521730240512',1383874515.0,monxsquared,Napoles'to promise!,sl,,,"Mla,Ph",28800.0,Beijing,Napoles'to promise!,"[""napoles'to"", 'promise']"
20,'398745532136304640',1383874517.0,AweSammmm,@IssaJaziel punta you here./. Sabe ko pala sa knya mi kamukha daw ni issa si napoles sbe nya hindi naman mas maganda naman si issa dyan yiee,tl,,,Philippines ,-18000.0,Quito,@IssaJaziel punta you here./. Sabe ko pala sa knya mi kamukha daw ni issa si napoles sbe nya hindi naman mas maganda naman si issa dyan yiee,"['punta', 'here./.', 'sabe', 'pala', 'knya', 'kamukha', 'daw', 'issa', 'napole', 'sbe', 'nya', 'hindi', 'naman', 'mas', 'maganda', 'naman', 'issa', 'dyan', 'yiee']"
21,'398745534615142400',1383874518.0,duizhaaaang,"teka, sabi ko sa sarili ko, may ""misyon"" ako. teka, na-napoles yata ako. nalimutan ko na yung misyon ko sayo. lolololol. for realz",tl,,,Philippines,32400.0,Seoul,"teka, sabi ko sa sarili ko, may ""misyon"" ako. teka, na-napoles yata ako. nalimutan ko na yung misyon ko sayo. lolololol. for realz","['teka', 'sabi', 'sarili', 'misyon', 'ako', 'teka', 'napole', 'yata', 'ako', 'nalimutan', 'yung', 'misyon', 'sayo', 'lolololol', 'realz']"
22,'398745544660500481',1383874520.0,JulieeeeAbot,Sa dinami dami ng bagyong dumaan saatin. Ngayon pa ba susuko ang pinas. Mas matigas pa ang pinas sa muka ni Napoles no! #YolandaPh #pray,tl,,,"Manila, Philippines",-39600.0,International Date Line West,Sa dinami dami ng bagyong dumaan saatin. Ngayon pa ba susuko ang pinas. Mas matigas pa ang pinas sa muka ni Napoles no! #YolandaPh #pray,"['dinami', 'dami', 'bagyong', 'dumaan', 'saatin', 'ngayon', 'susuko', 'ang', 'pinas', 'mas', 'matigas', 'ang', 'pinas', 'muka', 'napoles', 'yolandaph', 'pray']"
23,'398745593196978176',1383874532.0,thepatrickivan,Napoles kayo ng Napoles! Hindi ko po alam rin naman ang sagot niyan! Bruha! #Kurakut,tl,,,,28800.0,Beijing,Napoles kayo ng Napoles! Hindi ko po alam rin naman ang sagot niyan! Bruha! #Kurakut,"['napoles', 'kayo', 'napoles', 'hindi', 'alam', 'rin', 'naman', 'ang', 'sagot', 'niyan', 'bruha', 'kurakut']"
24,'398745603368185856',1383874534.0,EuvicBOSS,@LenetteLupac Aww! Nanakawan b kyo ni Napoles? Haha,tl,,,,28800.0,Beijing,@LenetteLupac Aww! Nanakawan b kyo ni Napoles? Haha,"['aww', 'nanakawan', 'kyo', 'napoles', 'haha']"
