,user location,language,text,lng,user utc offset,lat,user,,id,created_at,lemmas,user time zone
,-18000.0,en,@EmmaGxxxx_ yes you better sleep or else ma bagyo ged jk good night gwaptoots :),122.80958829999999,"Sugar Ln, Oneida, NY",9.9902175,alnasnutella,,'398098528439762944',1383720260.0,"['yes', 'better', 'sleep', 'bagyo', 'good', 'night', 'gwaptoot']",Quito
,,id,Pre-typhoon tips. Saya harus survive dengan browsing gimana cara antisipasi bencana. Di indonesia gk [pic]  https://t.co/JnoycEWwiV,123.8952,,10.34093,inbene,,'398098628134187009',1383720283.0,"['pre', 'typhoon', 'tip', 'saya', 'harus', 'survive', 'dengan', 'browse', 'gimana', 'cara', 'antisipasi', 'bencana', 'indonesia', 'pic', 'https://t.co/jnoycewwiv']",
,-18000.0,en,learning how to fish in preparation for the super typhoon we're expecting this week. @ Taoist Temple http://t.co/bc6zUWsSWZ,123.88808763,NJ,10.33401994,JCh0w,,'398098829004009472',1383720331.0,"['learn', 'fish', 'preparation', 'super', 'typhoon', 'expect', 'week', 'taoist', 'temple', 'http://t.co/bc6zuwsswz']",Eastern Time (US & Canada)
,25200.0,en,sending out prayers for everyone in PH. Keep safe and dry. #YolandaPH,100.60684509,@Rack City,13.78720255,AicahLin_7,,'398098922939228160',1383720354.0,"['send', 'prayer', 'safe', 'dry', 'yolandaph']",Bangkok
,28800.0,en,Typhoon in this month? Green house effect is kicking in indeed,120.97993262,Mystic Falls,14.44101151,Aeronic03,,'398098963271671809',1383720363.0,"['typhoon', 'month', 'green', 'house', 'effect', 'kick']",Perth
,-32400.0,tl,"@iamjeanyrose Hahahaha! No nang. Tama ka, unahun ta anay do bagyo ;) Hahahah ipaeabi do crush-ing",0.0,Philippines,0.0,theyanese,,'398098972893388801',1383720366.0,"['hahahaha', 'nang', 'tama', 'unahun', 'anay', 'bagyo', 'hahahah', 'ipaeabi', 'crush']",Alaska
,,tl,# i know  everything allright  guyss .. sana lord tama nanf bagyo huhuhu,120.994496,quezon city..,14.422664300000001,donnacordova3,,'398099203332640768',1383720421.0,"['know', 'allright', 'guyss', 'sana', 'lord', 'tama', 'nanf', 'bagyo', 'huhuhu']",
,28800.0,tl,Halaaa. Ayan na ang ulan. Bagyong Yolanda umayos ka!!!,120.98388870000001,"Las Pias, PH",14.4497609,143Kath,,'398099281736777729',1383720439.0,"['halaaa', 'ayan', 'ang', 'ulan', 'bagyong', 'yolanda', 'umayos']",Hong Kong
,-28800.0,tl,wala munang tv tonight.. kasi pinapasecure na ni mama lahat nang appliances.. Preparing for #SuperTyphoon #YolandaPH #Cebu,123.89323092,"Cebu City, Philippines",10.34510396,RedHorse03,,'398099300686647296',1383720444.0,"['wala', 'munang', 'tonight', 'kasi', 'pinapasecure', 'mama', 'lahat', 'nang', 'appliance', 'prepare', 'supertyphoon', 'yolandaph', 'cebu']",Pacific Time (US & Canada)
,-25200.0,en,Aww &lt;//3  I can Feel YOLANDA na :'( #PrayPrayPray,121.02439109999999,"Cavite , Philippines",14.3062332,Sheyning,,'398099302494384128',1383720444.0,"['aww', 'lt;//3', 'feel', 'yolanda', 'praypraypray']",Arizona
,-32400.0,tl,Wala pang bagyo pero brownout?! Anyare @meralco? Paki explain!,121.03905177,dirty south,14.46602981,k_3na,,'398099396287823872',1383720467.0,"['wala', 'pang', 'bagyo', 'pero', 'brownout', 'anyare', 'paki', 'explain']",Alaska
,28800.0,tl,Hintayin ko yung bagyo. :D,120.46746787,,14.87075316,BabyPatreng,,'398099524821868544',1383720497.0,"['hintayin', 'yung', 'bagyo']",Beijing
,,tl,#YolandaPH wag na dagdag problema.. keep safe everyone.. God bless,125.62109697,,7.13085188,darksheep20,,'398099558757965824',1383720505.0,"['yolandaph', 'wag', 'dagdag', 'problema', 'safe', 'god', 'bles']",
,28800.0,en,Bagyo!!! (@ eBloc Building) http://t.co/KVfVt7LGYp,123.90870786,Philippines,10.33194965,yehey_itsnikki,,'398099571299340288',1383720508.0,"['bagyo', 'ebloc', 'building', 'http://t.co/kvfvt7lgyp']",Beijing
,28800.0,tl,May bagyo daw?,124.244119,,8.238177,Mhaydrowzy,,'398099596045324288',1383720514.0,"['bagyo', 'daw']",Beijing
,,en,Yolanda might be the strongest typhoon of the year!,125.79495476,Tagum City,7.42480698,une_caii,,'398099644447592449',1383720526.0,"['yolanda', 'strong', 'typhoon', 'year']",
,-25200.0,tl,Bagyong yolanda reminds me of our highschool principal. Kinakatakutan!,121.01555792,,14.60153633,sweetkeyt,,'398099718053433345',1383720543.0,"['bagyong', 'yolanda', 'remind', 'highschool', 'principal', 'kinakatakutan']",Arizona
,28800.0,tl,Bukas pala simula ng bagyo wala akong payong :( :3,120.9944893,76033E91,14.615062099999998,imcgvillanueva,,'398099870419935232',1383720580.0,"['bukas', 'pala', 'simula', 'bagyo', 'wala', 'akong', 'payong']",Beijing
,-25200.0,tl,Ang Wrong Timing naman kung tutuloy talaga si yolanda:( Magpapasko e. kawawa naman yung iba na di pa nakaka move on sa lindol :( #Pray,121.02439109999999,"Cavite , Philippines",14.3062332,Sheyning,,'398099963562835969',1383720602.0,"['ang', 'wrong', 'timing', 'naman', 'kung', 'tutuloy', 'talaga', 'yolanda', 'magpapasko', 'kawawa', 'naman', 'yung', 'iba', 'nakaka', 'lindol', 'pray']",Arizona
,28800.0,tl,Nagsisimula na umulan. Lets brace for the super typhoon,121.05435590000002,"Los Banos, Laguna",13.7555122,marloncmm,,'398099993782804480',1383720609.0,"['nagsisimula', 'umulan', 'let', 'brace', 'super', 'typhoon']",Singapore
,-28800.0,tl,May bagyo na pala di ko pa alam. Di nko pinapasok bukas.,121.01673329999998,Muntinlupa City,14.3930717,maaarjj,,'398100136938577921',1383720643.0,"['bagyo', 'pala', 'alam', 'nko', 'pinapasok', 'bukas']",Pacific Time (US & Canada)
,7200.0,en,Please don't come #yolanda,122.97550659,"Bacolod City, Philippines",10.70774536,rachelannchua,,'398100299748876288',1383720682.0,"['not', 'come', 'yolanda']",Athens
,-28800.0,tl,"Tangina Yolanda, lumayo ka.",121.92342651,dancing with miley,11.96546194,emzeyxx,,'398100331998896128',1383720690.0,"['tangina', 'yolanda', 'lumayo']",Pacific Time (US & Canada)
,-32400.0,en,@tineybubbles Super typhoon's coming fast and earlier than expected! Let's pray Tine!,123.89803344,"Cebu, Philippines",10.29907526,Vira65,,'398100382942904321',1383720702.0,"['super', 'typhoon', 'come', 'fast', 'early', 'expect', 'let', 'pray', 'tine']",Alaska
,-32400.0,en,"You better watch out you better not cry you better pack some food and flashlights I'm telling you why, Yolanda is coming to town #staysafe",121.00048828,Philippines,14.4784174,HeyJerve,,'398100654033362944',1383720766.0,"['better', 'watch', 'better', 'cry', 'good', 'pack', 'food', 'flashlight', 'tell', 'yolanda', 'come', 'town', 'staysafe']",Alaska
